19
S,0,1,1672531199,0,,M,,,,
A,101,2,1672531200,10001,,B,100,50025,AAPL    ,
F,102,3,1672531201,10002,,S,200,15075,MSFT    ,NY42
X,101,6,1672531204,10001,,,50,,,
D,101,7,1672531205,10001,,,,,,
U,102,8,1672531206,10002,10003,,150,15080,,
S,0,0,0,0,,O,,,,
S,65535,65535,281474976710655,0,,C,,,,
A,1,1,1672531200,18446744073709551615,,B,4294967295,4294967295,A       ,
A,999,50,1672531200,10001,,S,1,0,BRK.A   ,
F,102,3,1672531201,10002,,S,200,15075,MSFT    ,NY42
F,102,3,1672531201,10002,,B,200,15075,GOOGL   ,    
X,101,6,1672531204,10001,,,4294967295,,,
D,101,7,1672531205,10001,,,,,,
U,102,8,1672531206,10002,10003,,150,15080,,
A,10,20,12345,999,,B,100,500,12345678,
F,11,21,12346,1000,,S,200,600,ABCDEF  ,WXYZ
S,5,5,5,0,,E,,,,
U,0,0,0,1,2,,0,0,,
